id,followers_count,friends_count,lang,created_at,group
1,0,0,en,Wed Jan 18 06:20:48 +0000 2012,2
2,0,0,en,Tue Jan 17 09:37:54 +0000 2012,2
3,0,0,en,Tue Jan 17 08:56:36 +0000 2012,2
4,0,0,en,Thu Jan 19 03:13:47 +0000 2012,2
5,4372,4571,es,Tue Jan 17 09:39:27 +0000 2012,2
6,4616,5066,en,Tue Jan 17 11:10:34 +0000 2012,2
7,4200,4435,en,Mon Dec 12 09:50:03 +0000 2011,2
8,13,27,en,Thu Jan 19 03:43:42 +0000 2012,2
9,0,0,it,Tue Jan 17 02:24:52 +0000 2012,2
10,980,491,en,Fri Dec 24 06:16:01 +0000 2010,1
11,0,0,it,Wed Mar 28 13:40:42 +0000 2012,2
12,0,0,it,Tue Jan 17 04:44:08 +0000 2012,2
13,589,517,en,Fri Dec 21 21:58:33 +0000 2007,1
14,0,0,it,Wed Mar 28 10:14:34 +0000 2012,2
15,748,1008,en,Sat Mar 16 20:10:28 +0000 2013,2
16,432,315,en,Mon Feb 23 02:08:56 +0000 2009,1
17,140,159,en,Sat Nov 27 21:51:26 +0000 2010,1
18,0,0,es,Wed Jan 18 05:14:19 +0000 2012,2
19,149,181,en,Wed Feb 11 23:43:06 +0000 2009,1
20,268,335,en,Wed Jan 18 04:03:42 +0000 2012,2
21,4394,4352,en,Tue Jan 17 07:03:22 +0000 2012,2
22,0,0,es,Wed Jan 18 02:47:57 +0000 2012,2
23,9,384,en,Mon Mar 18 00:17:40 +0000 2013,2
24,0,0,en,Wed Jan 18 04:58:32 +0000 2012,2
25,5039,5321,en,Wed Jan 18 03:20:13 +0000 2012,2
26,0,0,it,Mon Jan 16 10:32:16 +0000 2012,2
27,1461,1448,en,Thu Mar 05 17:55:29 +0000 2009,1
28,0,0,en,Wed Jan 18 06:48:50 +0000 2012,2
29,1561,2001,en,Wed Jan 12 07:32:14 +0000 2011,2
30,5,0,en,Tue Jan 17 09:52:24 +0000 2012,2
31,3152,2522,es,Thu Nov 20 20:05:43 +0000 2008,1
32,269,183,en,Mon Aug 12 05:16:47 +0000 2013,1
33,661,439,en,Sun May 13 23:38:35 +0000 2012,1
34,1108,998,en,Mon Mar 23 15:32:10 +0000 2009,1
35,1,0,en,Tue Jan 17 08:38:05 +0000 2012,2
36,791,194,en,Thu Sep 19 07:32:27 +0000 2013,1
37,0,0,it,Thu Jan 19 04:12:27 +0000 2012,2
38,6325,2,en,Tue Jan 08 09:04:35 +0000 2013,2
39,34,161,en,Thu Apr 03 05:09:05 +0000 2008,1
40,281,340,en,Mon Jan 16 08:46:24 +0000 2012,2
41,543,445,en,Sun Apr 27 15:29:35 +0000 2008,1
